acctnum	gender	state	zip
10001	M	NY	10605
10002	M	NY	10960
10003	F	PA	19146
10004	F	NJ	07016
10005	F	NY	10804
10006	F	NY	11366
10007	M	CT	06460
10008	M	NJ	08402
10009	F	NJ	07452
10010	F	NJ	08027
10011	F	NJ	08873
10012	F	NJ	08620
10013	F	MA	01040
10014	M	NJ	08721
10015	F	NY	12590
10016	F	NJ	07083
10017	F	PA	18929
10018	M	CT	06902
10019	F	NJ	08759
10020	F	NH	03458
10021	M	NY	10023
10022	F	NJ	07921
10023	M	NJ	07666
10024	F	NY	11024
10025	F	PA	19020
10026	F	NY	11429
10027	M	MD	21037
10028	F	MD	21133
10029	M	NY	11373
10030	F	PA	19382
10031	M	DE	19971
10032	F	NY	11374
10033	F	NY	11558
10034	F	NY	10573
10035	F	PA	15235
10036	F	PA	16506
10037	F	VI	00841
10038	M	MD	21087
10039	F	NY	14020
10040	F	NJ	07208
10041	M	NJ	07740
10042	F	NJ	07105
10043	F	MA	02791
10044	F	NY	14004
10045	F	NY	12438
10046	F	NH	03840
10047	F	NY	12866
10048	M	MA	02194
10049	F	CT	06033
10050	F	MD	21209
10051	F	NY	11530
10052	F	NY	10471
10053	M	NY	11762
10054	F	NJ	07481
10055	F	NY	14217
10056	M	NY	10308
10057	F	CT	06320
10058	M	MA	02324
10059	F	NJ	07044
10060	F	NJ	08701
10061	F	PA	19464
10062	F	NY	11788
10063	M	CT	06810
10064	F	PA	19146
10065	M	DE	19901
10066	M	NJ	07746
10067	F	NY	14207
10068	M	NJ	07506
10069	M	NJ	07006
10070	F	MA	02110
10071	F	CT	06010
10072	F	PA	18212
10073	M	PA	19111
10074	F	NJ	08030
10075	M	RI	02906
10076	F	NY	11370
10077	M	NJ	07726
10078	F	NY	10308
10079	F	DE	19703
10080	F	NJ	08619
10081	F	PA	17868
10082	F	CT	06492
10083	F	NJ	08520
10084	F	MA	02176
10085	F	NY	11733
10086	F	NY	11030
10087	M	MA	02050
10088	F	PA	15644
10089	F	PA	15202
10090	F	NY	10465
10091	M	NY	11201
10092	F	MA	02121
10093	M	NJ	08086
10094	M	NJ	08520
10095	M	NJ	07054
10096	M	NY	10923
10097	F	NY	12601
10098	F	NJ	08520
10099	F	NY	10010
10100	M	NY	11743
10101	F	NY	11224
10102	F	NY	13413
10103	F	NY	10566
10104	M	PA	17201
10105	F	MD	21001
10106	M	MD	20748
10107	M	PA	17013
10108	M	PA	19085
10109	F	MD	21209
10110	M	MA	02673
10111	F	CT	06282
10112	F	MA	01826
10113	F	MA	01238
10114	F	NY	10475
10115	F	NJ	07646
10116	F	ME	04444
10117	M	NJ	08210
10118	F	NY	11561
10119	F	NJ	07840
10120	F	NY	11787
10121	F	PA	19144
10122	M	MA	01970
10123	F	NY	11230
10124	M	NJ	08848
10125	F	MD	20715
10126	F	NY	10956
10127	M	NY	13820
10128	F	MA	02043
10129	F	NJ	07001
10130	F	NY	11219
10131	F	NY	11040
10132	M	MD	21209
10133	F	NY	10002
10134	F	PA	19063
10135	F	NY	11742
10136	F	NY	11967
10137	M	DE	19808
10138	F	NY	10605
10139	F	NJ	07950
10140	M	PA	19154
10141	M	NY	11358
10142	F	NY	14895
10143	F	NY	11942
10144	M	PA	17602
10145	F	NY	14170
10146	F	MD	20906
10147	F	NY	10509
10148	F	MA	01451
10149	F	NJ	07758
10150	F	PA	17033
10151	F	NJ	08043
10152	F	NY	12203
10153	F	MA	02673
10154	M	NY	11224
10155	F	DE	19810
10156	F	NJ	07087
10157	F	NJ	08882
10158	M	CT	06759
10159	M	NY	10452
10160	F	NY	11360
10161	M	NY	11758
10162	F	NY	11206
10163	F	NH	03063
10164	F	NJ	08854
10165	F	MA	01237
10166	F	PA	15122
10167	M	NJ	08753
10168	F	NY	11354
10169	F	PA	15090
10170	F	PA	18704
10171	F	MD	21215
10172	F	PA	15068
10173	F	NY	11230
10174	F	NJ	08052
10175	F	MA	01824
10176	F	NY	11419
10177	F	PA	16701
10178	M	NY	11205
10179	F	NY	13839
10180	F	NY	14220
10181	F	NJ	07017
10182	F	PA	19390
10183	M	NY	11596
10184	F	PA	18072
10185	F	NJ	07901
10186	F	MA	02155
10187	F	MA	02154
10188	F	NY	11803
10189	M	NY	12701
10190	F	NY	10463
10191	F	NY	11429
10192	M	NY	10016
10193	F	NJ	07067
10194	F	NY	11010
10195	F	MD	21229
10196	F	NJ	08817
10197	F	NY	11727
10198	F	PA	18042
10199	F	NY	11429
10200	M	MD	20906
10201	F	NY	11207
10202	M	PA	19067
10203	F	NY	11367
